gene.ensembl	gene.sym
ENSMUSG00000021600	8030423J24Rik
ENSMUSG00000047466	8030462N17Rik
ENSMUSG00000046774	8030474K03Rik
NA	8430408G22Rik
ENSMUSG00000045008	9030612E09Rik
NA	9030617O03Rik
ENSMUSG00000053168	9030619P08Rik
ENSMUSG00000073158	9030624G23Rik
ENSMUSG00000030982	9030624J02Rik
ENSMUSG00000054951	9130008F23Rik
NA	9130011E15Rik
ENSMUSG00000030823	9130019O22Rik
ENSMUSG00000062944	9130023H24Rik
ENSMUSG00000091175	9130204L05Rik
ENSMUSG00000086513	9130208D14Rik
ENSMUSG00000097386	9130213A22Rik
ENSMUSG00000054598	9130230L23Rik
ENSMUSG00000101892	9130401M01Rik
ENSMUSG00000038768	9130409I23Rik
NA	9130409J20Rik
ENSMUSG00000071434	9230019H11Rik
ENSMUSG00000079602	9230102O04Rik
ENSMUSG00000027446	9230104L09Rik
ENSMUSG00000097100	9230104M06Rik
ENSMUSG00000042940	9230106D20Rik
ENSMUSG00000051237	9230109A22Rik
NA	9230110C19Rik
ENSMUSG00000047980	9230110F15Rik
ENSMUSG00000021797	9230112D13Rik
ENSMUSG00000078934	9230113P08Rik
ENSMUSG00000043498	9330132A10Rik
ENSMUSG00000097061	9330151L19Rik
ENSMUSG00000004360	9330159F19Rik
ENSMUSG00000055271	9330161L09Rik
ENSMUSG00000056004	9330182L06Rik
ENSMUSG00000094112	9330182O14Rik
ENSMUSG00000028593	9430007A20Rik
ENSMUSG00000059939	9430015G10Rik
NA	9430016H08Rik
NA	9430020K01Rik
ENSMUSG00000055216	9430025C20Rik
ENSMUSG00000040139	9430038I01Rik
ENSMUSG00000094447	9430069I07Rik
NA	9430076C15Rik
ENSMUSG00000075405	9430097D07Rik
ENSMUSG00000023263	9530002B09Rik
ENSMUSG00000020177	9530003J23Rik
ENSMUSG00000078776	9530053A07Rik
ENSMUSG00000036275	9530068E07Rik
ENSMUSG00000036411	9530077C05Rik
ENSMUSG00000057710	9630041A04Rik
ENSMUSG00000073386	9830107B12Rik
NA	9830147E19Rik
ENSMUSG00000044551	9930012K11Rik
ENSMUSG00000046138	9930021J03Rik
ENSMUSG00000045065	9930022D16Rik
ENSMUSG00000069893	9930111J21Rik1
ENSMUSG00000069892	9930111J21Rik2
ENSMUSG00000069136	A130006I12Rik
ENSMUSG00000079144	A130010J15Rik
ENSMUSG00000097643	A130051J06Rik
null	A130057D12Rik
ENSMUSG00000022347	A1bg
ENSMUSG00000052595	A1cf
NA	A230046K03Rik
ENSMUSG00000038884	A230050P20Rik
ENSMUSG00000020887	A230052G05Rik
NA	A230065H16Rik
ENSMUSG00000074473	A230072I06Rik
ENSMUSG00000109344	A26c2
ENSMUSG00000030111	A2m
null	A330017A19Rik
ENSMUSG00000093385	A330044P14Rik
ENSMUSG00000052014	A330070K13Rik
ENSMUSG00000028794	A3galt2
